Step	Train Loss	Val Loss	Learning Rate
77	9.3477	10.7160	0.000039
78	9.3532	10.7160	0.000040
79	9.2827	10.7160	0.000040
80	9.2634	10.7160	0.000040
81	9.2173	10.7160	0.000041
82	9.2299	10.7160	0.000041
83	9.2741	10.7160	0.000042
84	9.2292	10.7160	0.000043
85	9.2122	10.7160	0.000043
86	9.1395	10.7160	0.000044
87	9.1971	10.7160	0.000044
88	9.1373	10.7160	0.000044
89	9.1704	10.7160	0.000045
90	9.0798	10.7160	0.000046
91	9.0279	10.7160	0.000046
92	9.1056	10.7160	0.000047
93	9.0683	10.7160	0.000047
94	9.0272	10.7160	0.000047
95	9.0291	10.7160	0.000048
96	8.9794	10.7160	0.000048
97	8.9546	10.7160	0.000049
98	8.9034	10.7160	0.000050
99	8.8988	10.7160	0.000050
100	8.9169	8.8430	0.000051
101	8.9202	8.8430	0.000051
102	8.9026	8.8430	0.000051
103	8.8749	8.8430	0.000052
104	8.8792	8.8430	0.000053
105	8.7731	8.8430	0.000053
106	8.7754	8.8430	0.000054
107	8.7701	8.8430	0.000054
108	8.7406	8.8430	0.000054
109	8.7238	8.8430	0.000055
110	8.7013	8.8430	0.000056
111	8.6836	8.8430	0.000056
112	8.5990	8.8430	0.000057
113	8.6767	8.8430	0.000057
114	8.6408	8.8430	0.000058
115	8.5782	8.8430	0.000058
116	8.6528	8.8430	0.000058
117	8.5564	8.8430	0.000059
118	8.5598	8.8430	0.000060
119	8.5435	8.8430	0.000060
120	8.5022	8.8430	0.000061
121	8.5117	8.8430	0.000061
122	8.5193	8.8430	0.000062
123	8.4280	8.8430	0.000062
124	8.4344	8.8430	0.000063
125	8.4092	8.8430	0.000063
126	8.3339	8.8430	0.000064
127	8.2639	8.8430	0.000064
128	8.3472	8.8430	0.000064
129	8.3880	8.8430	0.000065
130	8.2438	8.8430	0.000066
131	8.2794	8.8430	0.000066
132	8.2645	8.8430	0.000067
133	8.2729	8.8430	0.000067
134	8.2216	8.8430	0.000068
135	8.2347	8.8430	0.000068
136	8.2300	8.8430	0.000068
137	8.1567	8.8430	0.000069
138	8.1671	8.8430	0.000070
139	8.0922	8.8430	0.000070
140	8.1501	8.8430	0.000071
141	8.0496	8.8430	0.000071
142	8.0565	8.8430	0.000072
143	8.0407	8.8430	0.000072
144	8.0397	8.8430	0.000073
145	8.1140	8.8430	0.000073
146	8.0266	8.8430	0.000074
147	7.9675	8.8430	0.000074
148	7.9358	8.8430	0.000074
149	7.9586	8.8430	0.000075
150	7.9280	8.8430	0.000076
151	7.9632	8.8430	0.000076
152	7.9218	8.8430	0.000077
153	7.9253	8.8430	0.000077
154	7.8002	8.8430	0.000077
155	7.7657	8.8430	0.000078
156	7.9074	8.8430	0.000079
157	7.8264	8.8430	0.000079
158	7.7938	8.8430	0.000080
159	7.8295	8.8430	0.000080
160	7.8094	8.8430	0.000081
161	7.6953	8.8430	0.000081
162	7.7943	8.8430	0.000082
163	7.6992	8.8430	0.000082
164	7.6960	8.8430	0.000082
165	7.6427	8.8430	0.000083
166	7.6992	8.8430	0.000083
167	7.7467	8.8430	0.000084
168	7.6398	8.8430	0.000085
169	7.6233	8.8430	0.000085
170	7.7211	8.8430	0.000086
171	7.6501	8.8430	0.000086
172	7.6246	8.8430	0.000087
173	7.5418	8.8430	0.000087
174	7.6793	8.8430	0.000088
175	7.6838	8.8430	0.000088
176	7.6646	8.8430	0.000088
177	7.5605	8.8430	0.000089
178	7.5453	8.8430	0.000089
179	7.5797	8.8430	0.000090
180	7.5290	8.8430	0.000091
181	7.5162	8.8430	0.000091
182	7.4968	8.8430	0.000092
183	7.4812	8.8430	0.000092
184	7.4319	8.8430	0.000093
185	7.5251	8.8430	0.000093
186	7.4962	8.8430	0.000094
187	7.5794	8.8430	0.000094
188	7.5157	8.8430	0.000095
189	7.4988	8.8430	0.000095
190	7.5162	8.8430	0.000096
191	7.5038	8.8430	0.000096
192	7.4183	8.8430	0.000097
193	7.4949	8.8430	0.000097
194	7.3844	8.8430	0.000097
195	7.4605	8.8430	0.000098
196	7.4703	8.8430	0.000099
197	7.5420	8.8430	0.000099
198	7.4766	8.8430	0.000100
199	7.4953	8.8430	0.000100
200	7.3844	7.3945	0.000100
201	7.4151	7.3945	0.000100
202	7.4788	7.3945	0.000100
203	7.4503	7.3945	0.000100
204	7.3407	7.3945	0.000100
205	7.4653	7.3945	0.000100
206	7.4422	7.3945	0.000100
207	7.3956	7.3945	0.000100
208	7.4210	7.3945	0.000100
209	7.4146	7.3945	0.000100
210	7.4632	7.3945	0.000100
211	7.3263	7.3945	0.000100
212	7.4956	7.3945	0.000100
213	7.3361	7.3945	0.000100
214	7.4852	7.3945	0.000100
215	7.4795	7.3945	0.000100
216	7.4473	7.3945	0.000100
217	7.4108	7.3945	0.000100
218	7.4852	7.3945	0.000100
219	7.3913	7.3945	0.000100
220	7.4119	7.3945	0.000100
221	7.5017	7.3945	0.000100
222	7.3833	7.3945	0.000100
223	7.3193	7.3945	0.000100
224	7.3378	7.3945	0.000100
225	7.3993	7.3945	0.000100
226	7.4420	7.3945	0.000100
227	7.4978	7.3945	0.000100
228	7.4721	7.3945	0.000100
229	7.3576	7.3945	0.000100
230	7.4245	7.3945	0.000100
231	7.3662	7.3945	0.000100
232	7.3030	7.3945	0.000100
233	7.3848	7.3945	0.000100
234	7.4822	7.3945	0.000100
235	7.4392	7.3945	0.000100
236	7.3572	7.3945	0.000100
237	7.4375	7.3945	0.000100
238	7.3801	7.3945	0.000100
239	7.3742	7.3945	0.000100
240	7.3569	7.3945	0.000100
241	7.3949	7.3945	0.000100
242	7.4356	7.3945	0.000100
243	7.3592	7.3945	0.000100
244	7.3640	7.3945	0.000100
245	7.4553	7.3945	0.000100
246	7.3902	7.3945	0.000100
247	7.3803	7.3945	0.000100
248	7.3726	7.3945	0.000100
249	7.2963	7.3945	0.000100
250	7.4213	7.3945	0.000100
251	7.2667	7.3945	0.000100
252	7.3704	7.3945	0.000100
253	7.3461	7.3945	0.000100
254	7.4267	7.3945	0.000100
255	7.3653	7.3945	0.000100
256	7.3299	7.3945	0.000100
257	7.2816	7.3945	0.000100
258	7.3499	7.3945	0.000100
259	7.2933	7.3945	0.000100
260	7.3805	7.3945	0.000100
261	7.4202	7.3945	0.000100
262	7.3261	7.3945	0.000100
263	7.3707	7.3945	0.000100
264	7.4940	7.3945	0.000100
265	7.3159	7.3945	0.000100
266	7.3945	7.3945	0.000100
267	7.3927	7.3945	0.000100
268	7.4061	7.3945	0.000100
269	7.3637	7.3945	0.000100
270	7.2809	7.3945	0.000100
271	7.3613	7.3945	0.000100
272	7.2859	7.3945	0.000100
273	7.3818	7.3945	0.000100
274	7.3167	7.3945	0.000100
275	7.3623	7.3945	0.000100
276	7.4141	7.3945	0.000100
277	7.2926	7.3945	0.000100
278	7.5257	7.3945	0.000100
279	7.2555	7.3945	0.000100
280	7.3295	7.3945	0.000100
281	7.3262	7.3945	0.000100
282	7.3271	7.3945	0.000100
283	7.2803	7.3945	0.000100
284	7.3568	7.3945	0.000100
285	7.2772	7.3945	0.000100
286	7.2869	7.3945	0.000100
287	7.3601	7.3945	0.000100
288	7.3376	7.3945	0.000100
289	7.2840	7.3945	0.000100
290	7.2827	7.3945	0.000100
291	7.1157	7.3945	0.000100
292	7.3335	7.3945	0.000100
293	7.3710	7.3945	0.000100
294	7.3794	7.3945	0.000100
295	7.2939	7.3945	0.000100
296	7.1662	7.3945	0.000100
297	7.3075	7.3945	0.000100
298	7.2274	7.3945	0.000100
299	7.3489	7.3945	0.000100
300	7.2590	7.2031	0.000100
301	7.3355	7.2031	0.000100
302	7.2787	7.2031	0.000100
303	7.3315	7.2031	0.000100
304	7.3335	7.2031	0.000100
305	7.2987	7.2031	0.000100
306	7.2855	7.2031	0.000100
307	7.2930	7.2031	0.000100
308	7.2290	7.2031	0.000100
309	7.3804	7.2031	0.000100
310	7.3446	7.2031	0.000100
311	7.2763	7.2031	0.000100
312	7.3084	7.2031	0.000100
313	7.3139	7.2031	0.000100
314	7.3559	7.2031	0.000100
315	7.2209	7.2031	0.000100
316	7.3452	7.2031	0.000100
317	7.2408	7.2031	0.000100
318	7.2702	7.2031	0.000100
319	7.3921	7.2031	0.000100
320	7.2142	7.2031	0.000100
321	7.2174	7.2031	0.000100
322	7.2280	7.2031	0.000100
323	7.2438	7.2031	0.000100
324	7.1576	7.2031	0.000100
325	7.2611	7.2031	0.000100
326	7.2686	7.2031	0.000100
327	7.1966	7.2031	0.000100
328	7.0796	7.2031	0.000100
329	7.1953	7.2031	0.000100
330	7.1369	7.2031	0.000100
331	7.2492	7.2031	0.000100
332	7.3923	7.2031	0.000100
333	7.1947	7.2031	0.000100
334	7.1882	7.2031	0.000100
335	7.2944	7.2031	0.000100
336	7.2062	7.2031	0.000100
337	7.2964	7.2031	0.000100
338	7.3328	7.2031	0.000100
339	7.1223	7.2031	0.000100
340	7.2301	7.2031	0.000100
341	7.2877	7.2031	0.000100
342	7.1616	7.2031	0.000100
343	7.2059	7.2031	0.000100
344	7.1724	7.2031	0.000100
345	7.0975	7.2031	0.000100
346	7.2784	7.2031	0.000100
347	7.1272	7.2031	0.000100
348	7.0106	7.2031	0.000100
349	7.1881	7.2031	0.000100
350	7.1966	7.2031	0.000100
351	7.1278	7.2031	0.000100
352	7.1604	7.2031	0.000100
353	7.1431	7.2031	0.000100
354	7.1501	7.2031	0.000100
355	7.1508	7.2031	0.000100
356	7.2606	7.2031	0.000100
357	7.1020	7.2031	0.000100
358	7.1002	7.2031	0.000100
359	7.1790	7.2031	0.000100
360	7.1006	7.2031	0.000100
361	7.1174	7.2031	0.000100
362	7.0545	7.2031	0.000100
363	7.0589	7.2031	0.000100
364	7.0984	7.2031	0.000100
365	7.0412	7.2031	0.000100
366	7.1712	7.2031	0.000100
367	7.1389	7.2031	0.000100
368	7.1563	7.2031	0.000100
369	7.1711	7.2031	0.000100
370	7.1737	7.2031	0.000100
371	7.2727	7.2031	0.000100
372	7.1158	7.2031	0.000100
373	7.2273	7.2031	0.000100
374	7.0370	7.2031	0.000100
375	7.0941	7.2031	0.000100
376	7.0865	7.2031	0.000100
377	7.0708	7.2031	0.000100
378	7.0475	7.2031	0.000100
379	7.1448	7.2031	0.000100
380	7.1541	7.2031	0.000100
381	7.1313	7.2031	0.000100
382	7.0452	7.2031	0.000100
383	7.0546	7.2031	0.000100
384	6.9741	7.2031	0.000100
385	6.9796	7.2031	0.000100
386	6.9525	7.2031	0.000100
387	7.0884	7.2031	0.000100
388	7.1508	7.2031	0.000100
389	7.0407	7.2031	0.000100
390	6.9740	7.2031	0.000100
391	7.0257	7.2031	0.000100
392	7.0907	7.2031	0.000100
393	7.0401	7.2031	0.000100
394	7.0828	7.2031	0.000100
395	7.0115	7.2031	0.000100
396	6.9840	7.2031	0.000100
397	6.9895	7.2031	0.000100
398	7.0335	7.2031	0.000100
399	7.0340	7.2031	0.000100
400	7.1578	6.7298	0.000100
401	7.0102	6.7298	0.000100
402	7.1439	6.7298	0.000100
403	6.9838	6.7298	0.000100
404	7.0062	6.7298	0.000100
405	7.0570	6.7298	0.000100
406	7.1121	6.7298	0.000100
407	7.0831	6.7298	0.000100
408	7.1131	6.7298	0.000100
409	7.0293	6.7298	0.000100
410	7.1475	6.7298	0.000100
411	7.1084	6.7298	0.000100
412	7.0302	6.7298	0.000100
413	6.9157	6.7298	0.000100
414	6.9313	6.7298	0.000100
415	6.9799	6.7298	0.000100
416	7.1688	6.7298	0.000100
417	7.0763	6.7298	0.000100
418	7.0274	6.7298	0.000100
419	6.9559	6.7298	0.000100
420	7.0732	6.7298	0.000100
421	7.0615	6.7298	0.000100
422	6.7980	6.7298	0.000100
423	7.1337	6.7298	0.000100
424	6.9166	6.7298	0.000100
425	6.9648	6.7298	0.000100
426	7.0282	6.7298	0.000100
427	6.9404	6.7298	0.000100
428	6.8539	6.7298	0.000100
429	7.0223	6.7298	0.000100
430	6.9815	6.7298	0.000100
431	6.8545	6.7298	0.000100
432	6.9739	6.7298	0.000100
433	6.9614	6.7298	0.000100
434	7.0801	6.7298	0.000100
435	6.9181	6.7298	0.000100
436	6.9399	6.7298	0.000100
437	6.9477	6.7298	0.000100
438	6.9438	6.7298	0.000100
439	6.8634	6.7298	0.000100
440	6.9182	6.7298	0.000100
441	6.8758	6.7298	0.000100
442	7.0021	6.7298	0.000100
443	6.9045	6.7298	0.000100
444	6.9801	6.7298	0.000100
445	6.9567	6.7298	0.000100
446	6.8497	6.7298	0.000100
447	6.9535	6.7298	0.000100
448	6.9286	6.7298	0.000100
449	6.8439	6.7298	0.000100
450	7.0247	6.7298	0.000100
451	6.9174	6.7298	0.000100
452	6.9320	6.7298	0.000100
453	6.9849	6.7298	0.000100
454	6.9340	6.7298	0.000100
455	7.0181	6.7298	0.000100
456	6.9649	6.7298	0.000100
457	6.8684	6.7298	0.000100
458	6.9284	6.7298	0.000100
459	6.8875	6.7298	0.000100
460	6.9919	6.7298	0.000100
461	6.8540	6.7298	0.000100
462	6.9225	6.7298	0.000100
463	6.8934	6.7298	0.000100
464	6.9169	6.7298	0.000100
465	6.8580	6.7298	0.000100
466	6.8528	6.7298	0.000100
467	7.0029	6.7298	0.000100
468	6.9406	6.7298	0.000100
469	6.7928	6.7298	0.000100
470	6.9846	6.7298	0.000100
471	6.7998	6.7298	0.000100
472	6.7430	6.7298	0.000100
473	7.0000	6.7298	0.000100
474	6.8418	6.7298	0.000100
475	6.7709	6.7298	0.000100
476	6.7650	6.7298	0.000100
477	6.8481	6.7298	0.000100
478	6.9458	6.7298	0.000100
479	6.7090	6.7298	0.000100
480	6.8090	6.7298	0.000100
481	6.8110	6.7298	0.000100
482	6.8750	6.7298	0.000100
483	6.8743	6.7298	0.000100
484	6.8011	6.7298	0.000100
485	6.8875	6.7298	0.000100
486	6.7931	6.7298	0.000100
487	6.7898	6.7298	0.000100
488	6.8731	6.7298	0.000100
489	6.8220	6.7298	0.000100
490	6.8235	6.7298	0.000100
491	6.6457	6.7298	0.000100
492	6.7900	6.7298	0.000100
493	6.9194	6.7298	0.000100
494	6.8030	6.7298	0.000100
495	6.7054	6.7298	0.000100
496	6.5778	6.7298	0.000100
497	6.7905	6.7298	0.000100
498	6.7614	6.7298	0.000100
499	6.7917	6.7298	0.000100
500	6.8996	6.2234	0.000100
501	6.7500	6.2234	0.000100
502	6.8016	6.2234	0.000100
503	6.6763	6.2234	0.000100
504	6.6959	6.2234	0.000100
505	6.7576	6.2234	0.000100
506	6.7649	6.2234	0.000100
507	6.7210	6.2234	0.000100
508	6.7575	6.2234	0.000100
509	6.7993	6.2234	0.000100
510	6.7886	6.2234	0.000100
511	6.7039	6.2234	0.000100
512	6.7646	6.2234	0.000100
513	6.7244	6.2234	0.000100
514	6.7807	6.2234	0.000100
515	6.7733	6.2234	0.000100
516	6.7963	6.2234	0.000100
517	6.8390	6.2234	0.000100
518	6.7870	6.2234	0.000100
519	6.7794	6.2234	0.000100
520	6.7289	6.2234	0.000100
521	6.7684	6.2234	0.000100
522	6.6401	6.2234	0.000100
523	6.6831	6.2234	0.000100
524	6.6502	6.2234	0.000100
525	6.7556	6.2234	0.000100
526	6.6068	6.2234	0.000100
527	6.8329	6.2234	0.000100
528	6.7125	6.2234	0.000100
529	6.8706	6.2234	0.000100
530	6.6955	6.2234	0.000100
531	6.6151	6.2234	0.000100
532	6.6865	6.2234	0.000100
533	6.6966	6.2234	0.000100
534	6.6226	6.2234	0.000100
535	6.6618	6.2234	0.000100
536	6.5988	6.2234	0.000100
537	6.7844	6.2234	0.000100
538	6.6877	6.2234	0.000100
539	6.5466	6.2234	0.000100
540	6.7705	6.2234	0.000100
541	6.6341	6.2234	0.000100
542	6.5790	6.2234	0.000100
543	6.6396	6.2234	0.000100
544	6.6737	6.2234	0.000100
545	6.7055	6.2234	0.000100
546	6.6309	6.2234	0.000100
547	6.6795	6.2234	0.000100
548	6.7098	6.2234	0.000100
549	6.6953	6.2234	0.000100
550	6.7266	6.2234	0.000100
551	6.5195	6.2234	0.000100
552	6.6910	6.2234	0.000100
553	6.6666	6.2234	0.000100
554	6.7276	6.2234	0.000100
555	6.5577	6.2234	0.000100
556	6.5681	6.2234	0.000100
557	6.7300	6.2234	0.000100
558	6.7170	6.2234	0.000100
559	6.6101	6.2234	0.000100
560	6.5570	6.2234	0.000100
561	6.6466	6.2234	0.000100
562	6.6993	6.2234	0.000100
563	6.6199	6.2234	0.000100
564	6.5594	6.2234	0.000100
565	6.5486	6.2234	0.000100
566	6.6334	6.2234	0.000100
567	6.6933	6.2234	0.000100
568	6.6893	6.2234	0.000100
569	6.6235	6.2234	0.000100
570	6.6994	6.2234	0.000100
571	6.6195	6.2234	0.000100
572	6.6777	6.2234	0.000100
573	6.6239	6.2234	0.000100
574	6.6240	6.2234	0.000100
575	6.6262	6.2234	0.000100
576	6.5702	6.2234	0.000100
577	6.5093	6.2234	0.000100
578	6.5845	6.2234	0.000100
579	6.5064	6.2234	0.000100
580	6.6375	6.2234	0.000100
581	6.5563	6.2234	0.000100
582	6.6273	6.2234	0.000100
583	6.4657	6.2234	0.000100
584	6.4631	6.2234	0.000100
585	6.6040	6.2234	0.000100
586	6.4555	6.2234	0.000100
587	6.5342	6.2234	0.000100
588	6.5781	6.2234	0.000100
589	6.5662	6.2234	0.000100
590	6.4672	6.2234	0.000100
591	6.4793	6.2234	0.000100
592	6.4606	6.2234	0.000100
593	6.5693	6.2234	0.000100
594	6.4841	6.2234	0.000100
595	6.5367	6.2234	0.000100
596	6.4489	6.2234	0.000100
597	6.5399	6.2234	0.000100
598	6.6141	6.2234	0.000100
599	6.4734	6.2234	0.000100
600	6.5962	5.7675	0.000100
601	6.5328	5.7675	0.000100
602	6.5695	5.7675	0.000100
603	6.4172	5.7675	0.000100
604	6.4734	5.7675	0.000100
605	6.4967	5.7675	0.000100
606	6.5139	5.7675	0.000100
607	6.5080	5.7675	0.000100
608	6.4946	5.7675	0.000100
609	6.4551	5.7675	0.000100
610	6.4906	5.7675	0.000100
611	6.4517	5.7675	0.000100
612	6.5115	5.7675	0.000100
613	6.5480	5.7675	0.000100
614	6.5239	5.7675	0.000100
615	6.5785	5.7675	0.000100
616	6.4827	5.7675	0.000100
617	6.5343	5.7675	0.000100
618	6.3795	5.7675	0.000100
619	6.4664	5.7675	0.000100
620	6.5143	5.7675	0.000100
621	6.4485	5.7675	0.000100
622	6.5712	5.7675	0.000100
623	6.4746	5.7675	0.000100
624	6.5443	5.7675	0.000100
625	6.5971	5.7675	0.000100
626	6.5444	5.7675	0.000100
627	6.4828	5.7675	0.000100
628	6.2692	5.7675	0.000100
629	6.3878	5.7675	0.000100
630	6.3968	5.7675	0.000100
631	6.4660	5.7675	0.000100
632	6.3863	5.7675	0.000100
633	6.4819	5.7675	0.000100
634	6.4264	5.7675	0.000100
635	6.4223	5.7675	0.000100
636	6.3776	5.7675	0.000100
637	6.4253	5.7675	0.000100
638	6.4557	5.7675	0.000100
639	6.4881	5.7675	0.000100
640	6.5202	5.7675	0.000100
641	6.4294	5.7675	0.000100
642	6.4228	5.7675	0.000100
643	6.3024	5.7675	0.000100
644	6.4577	5.7675	0.000100
645	6.4859	5.7675	0.000100
646	6.3596	5.7675	0.000100
647	6.4026	5.7675	0.000100
648	6.3212	5.7675	0.000100
649	6.4443	5.7675	0.000100
650	6.3593	5.7675	0.000100
651	6.4895	5.7675	0.000100
652	6.4318	5.7675	0.000100
653	6.4930	5.7675	0.000100
654	6.3504	5.7675	0.000100
655	6.3621	5.7675	0.000100
656	6.4115	5.7675	0.000100
657	6.3609	5.7675	0.000100
658	6.2869	5.7675	0.000100
659	6.4143	5.7675	0.000100
660	6.4428	5.7675	0.000100
661	6.4955	5.7675	0.000100
662	6.3052	5.7675	0.000100
663	6.4503	5.7675	0.000100
664	6.3602	5.7675	0.000100
665	6.1369	5.7675	0.000100
666	6.3980	5.7675	0.000100
667	6.2371	5.7675	0.000100
668	6.1859	5.7675	0.000100
669	6.2822	5.7675	0.000100
670	6.3052	5.7675	0.000100
671	6.2111	5.7675	0.000100
672	6.1725	5.7675	0.000100
673	6.2303	5.7675	0.000100
674	6.3136	5.7675	0.000100
675	6.2824	5.7675	0.000100
676	6.3120	5.7675	0.000100
677	6.3147	5.7675	0.000100
678	6.2367	5.7675	0.000100
679	6.2648	5.7675	0.000100
680	6.3206	5.7675	0.000100
681	6.2464	5.7675	0.000100
682	6.3617	5.7675	0.000100
683	6.2524	5.7675	0.000100
684	6.4706	5.7675	0.000100
685	6.4383	5.7675	0.000100
686	6.2683	5.7675	0.000100
687	6.2969	5.7675	0.000100
688	6.2847	5.7675	0.000100
689	6.3556	5.7675	0.000100
690	6.4024	5.7675	0.000100
691	6.3498	5.7675	0.000100
692	6.3042	5.7675	0.000100
693	6.1710	5.7675	0.000100
694	6.3179	5.7675	0.000100
695	6.3839	5.7675	0.000100
696	6.2611	5.7675	0.000100
697	6.3859	5.7675	0.000100
698	6.2872	5.7675	0.000100
699	6.1898	5.7675	0.000100
700	6.2009	5.3556	0.000100
701	6.2462	5.3556	0.000100
702	6.2443	5.3556	0.000100
703	6.2876	5.3556	0.000100
704	6.2583	5.3556	0.000100
705	6.3360	5.3556	0.000100
706	6.3651	5.3556	0.000100
707	6.2092	5.3556	0.000100
708	6.2418	5.3556	0.000100
709	6.2331	5.3556	0.000100
710	6.2531	5.3556	0.000100
711	6.2299	5.3556	0.000100
712	6.0967	5.3556	0.000100
713	6.1889	5.3556	0.000100
714	6.1917	5.3556	0.000100
715	6.2341	5.3556	0.000100
716	6.1348	5.3556	0.000100
717	6.2006	5.3556	0.000100
718	6.2891	5.3556	0.000100
719	6.1602	5.3556	0.000100
720	6.1408	5.3556	0.000100
721	6.2404	5.3556	0.000100
722	6.3467	5.3556	0.000100
723	6.1069	5.3556	0.000100
724	6.1663	5.3556	0.000100
725	6.2268	5.3556	0.000100
726	6.1163	5.3556	0.000100
727	6.2401	5.3556	0.000100
728	6.0847	5.3556	0.000100
729	6.2302	5.3556	0.000100
730	6.2246	5.3556	0.000100
731	6.1930	5.3556	0.000100
732	6.2454	5.3556	0.000100
733	6.1038	5.3556	0.000100
734	6.2065	5.3556	0.000100
735	6.1830	5.3556	0.000100
736	6.2282	5.3556	0.000100
737	6.2758	5.3556	0.000100
738	6.0445	5.3556	0.000100
739	6.2089	5.3556	0.000100
740	6.2041	5.3556	0.000100
741	6.1928	5.3556	0.000100
742	6.2104	5.3556	0.000100
743	6.0762	5.3556	0.000100
744	6.2072	5.3556	0.000100
745	6.3949	5.3556	0.000100
746	6.0819	5.3556	0.000100
747	6.2447	5.3556	0.000100
748	6.0738	5.3556	0.000100
749	6.1573	5.3556	0.000100
750	6.3001	5.3556	0.000100
751	6.0921	5.3556	0.000100
752	6.1040	5.3556	0.000100
753	6.1063	5.3556	0.000100
754	6.1977	5.3556	0.000100
755	6.2579	5.3556	0.000100
756	6.1320	5.3556	0.000100
757	6.1542	5.3556	0.000100
758	6.0862	5.3556	0.000100
759	6.1074	5.3556	0.000100
760	6.0430	5.3556	0.000100
761	6.0850	5.3556	0.000100
762	6.1702	5.3556	0.000100
763	6.2104	5.3556	0.000100
764	6.1966	5.3556	0.000100
765	6.1625	5.3556	0.000100
766	6.0799	5.3556	0.000100
767	6.0834	5.3556	0.000100
768	6.0806	5.3556	0.000100
769	6.1004	5.3556	0.000100
770	6.1780	5.3556	0.000100
771	5.9484	5.3556	0.000100
772	6.2515	5.3556	0.000100
773	6.0242	5.3556	0.000100
774	5.9674	5.3556	0.000100
775	5.9071	5.3556	0.000100
776	6.0983	5.3556	0.000100
777	6.1401	5.3556	0.000100
778	5.9938	5.3556	0.000100
779	6.1306	5.3556	0.000100
780	5.9685	5.3556	0.000100
781	6.0668	5.3556	0.000100
782	6.0095	5.3556	0.000100
783	6.0955	5.3556	0.000100
784	6.1493	5.3556	0.000100
785	6.1559	5.3556	0.000100
786	5.9630	5.3556	0.000100
787	6.1276	5.3556	0.000100
788	5.9931	5.3556	0.000100
789	6.1710	5.3556	0.000100
790	6.0807	5.3556	0.000100
791	6.0600	5.3556	0.000100
792	6.0271	5.3556	0.000100
793	6.0302	5.3556	0.000100
794	5.9655	5.3556	0.000100
795	6.1513	5.3556	0.000100
796	5.9432	5.3556	0.000100
797	5.8971	5.3556	0.000100
798	5.9380	5.3556	0.000100
799	6.0634	5.3556	0.000100
800	6.1005	4.9281	0.000100
801	6.0542	4.9281	0.000100
802	6.2758	4.9281	0.000100
803	5.9807	4.9281	0.000100
804	5.9335	4.9281	0.000100
805	6.0177	4.9281	0.000100
806	6.1274	4.9281	0.000100
807	6.0077	4.9281	0.000100
808	5.9671	4.9281	0.000100
809	6.0190	4.9281	0.000100
810	6.0498	4.9281	0.000100
811	6.0259	4.9281	0.000100
812	6.0641	4.9281	0.000100
813	6.1111	4.9281	0.000100
814	6.0279	4.9281	0.000100
815	6.0257	4.9281	0.000100
816	5.9956	4.9281	0.000100
817	6.0274	4.9281	0.000100
818	5.9498	4.9281	0.000100
819	5.9729	4.9281	0.000100
